institute,category,course_num,course_name,credit,semester,description
bulletin.hofstra.edu,ACCT,ACCT101,Financial Accounting,3,Fall&Spring,Introductory course in the practical applications of financial accounting. Topics include an introduction to financial statements; analysis of the statements; accounting information systems; accounting concepts involved in accounting for cash; accounts receivable; inventory; long lived assets; liabilities and stockholders equity. Ethical issues in accounting are explored.Prerequisite(s)/Course Notes: Prerequisite/Corequisite: IT 014  or permission of the department chairperson.
bulletin.hofstra.edu,ACCT,ACCT102,Managerial Accounting,3,Fall&Spring,Course provides students with an understanding of concepts that are fundamental to the use of management accounting. Topics include costing concepts and systems; budgeting; cost-volume-profit analysis; and other managerial accounting concepts.Prerequisite(s)/Course Notes: ACCT 101 ; IT 014 .
bulletin.hofstra.edu,ACCT,ACCT123,Financial Accounting Theory and Practice I,3,Fall&Spring,Study of U.S. and international accounting theory and procedures and the special problems that arise in the application of underlying accounting concepts to financial accounting. Focus on the application of accounting information as a basis for decisions by management; stockholders; creditors; and other users of financial statements and accounting reports. Conflicts and shortcomings that exist within the traditional structure of accounting theory; including ethical aspects; are also discussed.Prerequisite(s)/Course Notes: Prerequisites: IT 014 ; ACCT 102 ; sophomore class standing or above. (Students who have completed 24 s.h. or above may seek a waiver from the department chairperson.)
bulletin.hofstra.edu,ACCT,ACCT124,Financial Accounting Theory and Practice II,3,Fall&Spring,Study of U.S. and international accounting theory and procedures and the special problems that arise in the application of underlying accounting concepts to financial accounting. Focus on the application of accounting information as a basis for decisions by management; stockholders; creditors; and other users of financial statements and accounting reports. Conflicts and shortcomings that exist within the traditional structure of accounting theory; including ethical aspects; are also discussed.Prerequisite(s)/Course Notes: IT 014 ; ACCT 123 ; FIN 101 ; sophomore class standing or above. (Students who have completed 24 s.h. or above may seek a waiver from the department chairperson.)
bulletin.hofstra.edu,ACCT,ACCT125,Accounting Entities (Advanced),3,Fall&Spring,Discussion of advanced theory and problem-solving for partnership formation; operation and termination; an analytical overview of the accounting problems associated with mergers; acquisitions; and the preparation and interpretation of financial reports with respect to the resultant combined corporate entities; and derivatives; securitizations; and translation of foreign financial statements. International perspectives and ethical issues are integrated throughout. Recent statements and pronouncements by the American Institute of Certified Public Accountants; the American Accounting Association; and the Securities and Exchange Commission are used throughout the course.Prerequisite(s)/Course Notes: ACCT 124 ; IT 014 ; junior class standing or above. Credit given for this course or ACCT 242; not both.
bulletin.hofstra.edu,ACCT,ACCT126,Government and Not-for-Profit Accounting,3,,Periodically  This course provides a detailed examination and discussion of the accounting principles unique to governmental and not-for-profit entities.  The course focuses on the use of special funds for state and local governments; colleges and universities; hospitals and other health care entities; voluntary health and welfare organization; and other not-for-profit organizations.  Students will learn what characterizes an entity as one for which the GASB is the authoritative standard-setting body versus one for which the FASB is the authoritative standard-setting body and develop an understanding of why two unique sets of accounting principles were developed to serve these entities.Prerequisite(s)/Course Notes: ACCT 124   or approved equivalent. Credit given for this course or ACCT 243; not both.
bulletin.hofstra.edu,ACCT,ACCT128,Accounting in a Global Environment,3,,Periodically   Discussion of contemporary debates regarding harmonization of accounting standards. Analysis of the differences among countries regarding their economic and social practices and corresponding accounting systems. Specific countries are discussed; and specific auditing and taxation accounting practices and theories are covered.Prerequisite(s)/Course Notes: ACCT 102 ; junior class standing or above. Credit given for this course or ACCT 232; not both.
bulletin.hofstra.edu,ACCT,ACCT129,Internal Auditing,3,,Periodically   Course explores the role of the internal audit function in the management of  companies. Topics include: reliability and integrity of information; compliance  with policies; procedures; laws and regulations; safeguarding of assets; economy  and efficiency of operations. The unique ethical considerations affecting the  internal audit function are stressed.Prerequisite(s)/Course Notes: ACCT 102 ; IT 014 ; BAN 001 ; junior class standing or above.
bulletin.hofstra.edu,ACCT,ACCT131,Cost Accounting and Advanced Managerial Accounting Topics,3,Fall&Spring,Various cost and advanced managerial accounting concepts are studied; e.g.; production cost systems.  Topics include job-order costing; process costing; standard costs; direct costing; by-products and joint products; and other topics relevant to managerial accounting. Ethical considerations relating to the production process are discussed.Prerequisite(s)/Course Notes: ACCT 102 ; sophomore class standing or above. Corequisite: IT 014 . (Students who have completed 24 s.h. or above may seek a waiver from the department chairperson.) (Formerly Cost Accounting Systems.)
bulletin.hofstra.edu,ACCT,ACCT133,Auditing Theory and Practice,3,Fall&Spring,The role and function of the independent auditor in the profit-directed sector of the economy is emphasized. The ethical; social; economic and political forces that have influenced the philosophy and conceptual foundations of auditing are covered in depth. Pronouncements by the American Institute of Certified Public Accountants; rulings by regulatory agencies and court decisions are analyzed. Standards that guide the auditor and the methodology used in conducting an audit are covered and illustrated; including audit considerations regarding computerized management information systems.Prerequisite(s)/Course Notes: ACCT 124 ; IT 014 ; BAN 001 ; and senior class standing or permission of the department chairperson. Credit given for this course or ACCT 233; not both.
bulletin.hofstra.edu,ACCT,ACCT134,Advanced Auditing,3,,Periodically  Concepts of auditing theory and their relationship to recent developments in auditing practice such as the impact of the Sarbanes-Oxley law; the extensive use of information technology and computerized management information systems are analyzed. The impact on the profession of the Public Companies Accounting Oversight’s Board and American Institute of Certified Public Accountants’ pronouncements on auditing standards are evaluated.      Prerequisite(s)/Course Notes: ACCT 133   or approved equivalent. Credit given for this course or ACCT 234; not both.
bulletin.hofstra.edu,ACCT,ACCT135,Accounting Information Systems,3,Fall&Spring,This course explores accounting information systems and how they relate to the accountant’s ability to conduct business and make decisions. The course focuses on transaction cycles with special emphasis on ethics; fraud; and internal controls and targets the needs and responsibilities of accountants as end users of systems; systems designers; and auditors. It includes an introduction of Sarbanes-Oxley and its effects on internal controls; and other relevant topics.Prerequisite(s)/Course Notes: Prerequisites: ACCT 124   or approved equivalent; senior class standing. Corequisite: ACCT 133 . Credit given for this course or ACCT 20
bulletin.hofstra.edu,ACCT,ACCT136,Fraud Prevention and Detection,3,,Periodically  To provide in-depth discussion and analysis into the different areas of fraud in asset misappropriations; bribery and corruption; and fraudulent statements. Students will build on existing knowledge of auditing and information systems to explore the areas of fraud for both detection and prevention.Prerequisite(s)/Course Notes: ACCT 133   or approved equivalent.
bulletin.hofstra.edu,ACCT,ACCT137,Forensic and Investigative Accounting,3,,Periodically  To provide in-depth discussion and analysis of the complex and evolving area of forensic accounting. The course connects the different roles of accountant as accountant; investigator; valuator and legal assistant in very specialized and vital areas of business. The course will discuss the field and practice of forensic accounting; uncovering accounting crime; courtroom procedures and litigation support; cybercrime and business valuations.Prerequisite(s)/Course Notes: ACCT 133   or approved equivalent.
bulletin.hofstra.edu,ACCT,ACCT142,Taxation for Non-Accounting Majors,3,,Periodically  Basics of the federal tax system for individuals and business entities. Topics will include the basic theory of tax concepts; calculation of tax; and tax ethics.   Prerequisite(s)/Course Notes: ACCT 101   and sophomore standing or above. This course may not taken by accounting majors or minors.
bulletin.hofstra.edu,ACCT,ACCT143,Income Tax Accounting I,3,Fall&Spring,Analysis of the Federal Income Tax laws; their meaning; application; ethical and international considerations relating to individuals.Prerequisite(s)/Course Notes: ACCT 124   and senior class standing. Credit given for this course or ACCT 215; not both.
